id,combined_features,title
67021,"['young', 'vagabond'] ['one', 'great', 'film', 'characters', 'beggar', 'legendary', 'ching', 'dynasty', 'figure', 'also', 'member', 'famous', 'ten', 'kwangtung', 'tigers', 'director', 'liu', 'uses', 'best', 'actors', 'shaw', 'studios', 'offer', 'tell', 'rare', 'colorful', 'adventure', 'beggar', 'brother', 'train', 'incessantly', 'defeat', 'brutally', 'powerful', 'thief', 'called', 'centipede', 'result', 'reminiscent', 'preeminent', 'director', 'liu', 'work', 'essentially', 'homage', 'well'] 5.4 ['Action' 'Foreign'] ['Action' 'Foreign'] ['Action' 'Foreign']",The Young Vagabond
40452,"['crying', 'fist'] ['jobless', 'besieged', 'creditors', 'abandoned', 'wife', 'silver', 'medalist', 'sunk', 'street', 'hustling', 'becoming', 'human', 'punching', 'bag', 'meanwhile', 'young', 'delinquent', 'ways', 'land', 'behind', 'bars', 'men', 'look', 'boxing', 'turn', 'around', 'lives', 'gone', 'astray', 'aiming', 'amateur', 'title', 'ultimately', 'pitting', 'importantly'] 6.8 ['Foreign' 'Drama'] ['Foreign' 'Drama'] ['Foreign' 'Drama']",Crying Fist
214135,"['wolf', 'door'] ['based', 'real', 'events', 'set', 'rio', 'janeiro', 'wolf', 'door', 'tale', 'kidnapped', 'child', 'terror', 'parents', 'left', 'behind', 'sylvia', 'discovers', 'daughter', 'picked', 'school', 'unknown', 'woman', 'police', 'summon', 'husband', 'bernardo', 'station', 'questioning', 'point', 'film', 'takes', 'increasingly', 'sinister', 'turns', 'delves', 'events', 'led', 'girl', 'kidnapping', 'plot', 'twists', 'keep', 'audience', 'edge', 'seats', 'wolf', 'door', 'darkly', 'disturbing', 'journey', 'extreme', 'limits', 'human', 'capacity', 'obsession', 'revenge'] 6.8 ['Thriller' 'Drama'] ['Thriller' 'Drama'] ['Thriller' 'Drama']",A Wolf at the Door
239571,"['best'] ['pair', 'former', 'high', 'school', 'sweethearts', 'reunite', 'many', 'years', 'return', 'visit', 'small', 'hometown'] 7.2 ['Romance' 'Drama'] ['Romance' 'Drama'] ['Romance' 'Drama']",The Best of Me
11198,"['city', 'hunter'] ['extremely', 'silly', 'comedy', 'private', 'investigator', 'winds', 'cruise', 'ship', 'full', 'rich', 'patrons', 'gorgeous', 'women', 'murderous', 'terrorists', 'scarce', 'food'] 6.3 ['Action' 'Romance' 'Comedy' 'Adventure'] ['Action' 'Romance' 'Comedy' 'Adventure'] ['Action' 'Romance' 'Comedy' 'Adventure']",City Hunter
143936,"['payment', 'blood'] ['chamaco', 'finds', 'wrong', 'end', 'firing', 'squad', 'tracking', 'interrogate', 'general', 'beauregard', 'missing', 'gold', 'saved', 'stranger', 'calls', 'stuart', 'byrnes', 'stuart', 'claims', 'know', 'location', 'beauregard', 'strongbox', 'chamaco', 'takes', 'blake', 'camp', 'sort', 'initiation', 'gang', 'stuart', 'leads', 'blake', 'men', 'back', 'across', 'border', 'durango', 'retrieve', 'gold', 'source', 'swdb'] 2.5 ['Western'] ['Western'] ['Western']",Payment in Blood
305088,"['love', 'money'] ['love', 'money', 'based', 'novel', 'zhang', 'xiaoxian', 'tells', 'moving', 'story', 'fallen', 'noble', 'lady', 'rich', 'heir', 'large', 'company', 'broken', 'lost', 'direction', 'life', 'whereas', 'chooses', 'life', 'poverty', 'freedom', 'pursue', 'passion', 'painter', 'together', 'able', 'find', 'world', 'twists', 'turns', 'late'] 0.0 ['Romance'] ['Romance'] ['Romance']",For Love or Money
22543,"['dead', 'ringer'] ['working', 'class', 'twin', 'sister', 'callous', 'wealthy', 'woman', 'impulsively', 'murders', 'revenge', 'assumes', 'identity', 'dead', 'woman', 'impersonating', 'dead', 'twin', 'complicated', 'risky', 'anticipated'] 6.9 ['Thriller' 'Drama' 'Crime'] ['Thriller' 'Drama' 'Crime'] ['Thriller' 'Drama' 'Crime']",Dead Ringer
152780,"['past'] ['four', 'years', 'apart', 'ahmad', 'returns', 'wife', 'marie', 'paris', 'order', 'progress', 'divorce', 'brief', 'stay', 'help', 'noticing', 'strained', 'relationship', 'marie', 'daughter', 'lucie', 'attempts', 'improve', 'matters', 'mother', 'daughter', 'ahmad', 'unwittingly', 'lifts', 'lid', 'long', 'buried', 'secret'] 7.1 ['Mystery' 'Drama'] ['Mystery' 'Drama'] ['Mystery' 'Drama']",The Past
57251,"['tickets'] ['train', 'travels', 'across', 'italy', 'toward', 'rome', 'board', 'professor', 'daydreams', 'conversation', 'love', 'never', 'family', 'albanian', 'refugees', 'switch', 'trains', 'steal', 'ticket', 'three', 'brash', 'scottish', 'soccer', 'fans', 'route', 'match', 'complaining', 'widow', 'traveling', 'memorial', 'service', 'late', 'husband', 'accompanied', 'volunteer', 'assisting', 'interactions', 'among', 'europeans', 'turn', 'class', 'nationalism', 'courtesy', 'rudeness', 'opportunities', 'kindness'] 6.0 ['Comedy' 'Drama'] ['Comedy' 'Drama'] ['Comedy' 'Drama']",Tickets
145594,['descongelate'] ['sindato'] 0.0 ['Comedy' 'Drama'] ['Comedy' 'Drama'] ['Comedy' 'Drama'],Descongelate!
165790,"['cinema', 'vengeance'] ['documentary', 'study', 'martial', 'arts', 'films', 'leading', 'protagonists', 'included', 'profiles', 'artists', 'bruce', 'lee', 'cynthia', 'rothrock', 'jackie', 'chan', 'van', 'damme', 'john', 'woo', 'favourite', 'chow', 'yun', 'fat'] 7.5 ['SinDato'] ['SinDato'] ['SinDato']",Cinema of Vengeance
78248,"['adanggaman'] ['west', 'africa', 'late', 'century', 'king', 'adanggaman', 'leads', 'war', 'neighboring', 'tribes', 'ordering', 'soldiers', 'torch', 'enemy', 'villages', 'kill', 'elderly', 'capture', 'healthy', 'tribesmen', 'sell', 'european', 'slave', 'traders', 'village', 'falls', 'prey', 'one', 'adanggaman', 'attacks', 'ossei', 'manages', 'escape', 'family', 'murdered', 'except', 'captured', 'mother', 'chasing', 'soldiers', 'effort', 'free', 'ossei', 'befriended', 'fierce', 'warrior', 'named', 'naka'] 7.5 ['Foreign' 'Drama'] ['Foreign' 'Drama'] ['Foreign' 'Drama']",Adanggaman
207260,"['wrath', 'crows'] ['wrath', 'crows', 'gory', 'brutal', 'tied', 'strong', 'concept', 'whole', 'story', 'focused', 'characters', 'development', 'splatter', 'sequences', 'also', 'atmospheric', 'moments', 'sequences', 'final', 'twist', 'shock'] 4.8 ['Mystery' 'Horror' 'Thriller'] ['Mystery' 'Horror' 'Thriller'] ['Mystery' 'Horror' 'Thriller']",Wrath of the Crows
402423,"['vessel'] ['ten', 'years', 'tsunami', 'destroyed', 'elementary', 'school', 'children', 'inside', 'young', 'man', 'builds', 'mysterious', 'structure', 'school', 'remains', 'setting', 'town', 'aflame', 'passions', 'long', 'forgotten'] 5.3 ['Drama'] ['Drama'] ['Drama']",The Vessel
