id,combined_features,title
86594,"['search', 'ancient', 'astronauts'] ['edited', 'version', 'german', 'documentary', 'erinnerungen', 'die', 'zukunft', 'chariots', 'gods', 'examines', 'theory', 'aliens', 'landed', 'earth', 'ancient', 'times', 'responsible', 'many', 'mankind', 'oldest', 'mysteries'] 10.0 ['Documentary'] ['Documentary'] ['Documentary']",In Search of Ancient Astronauts
71508,"['taming', 'shrew'] ['baptista', 'two', 'daughters', 'kate', 'bianca', 'everyone', 'wants', 'wed', 'fair', 'bianca', 'nobody', 'much', 'interested', 'problem', 'child', 'kate', 'baptista', 'declares', 'wo', 'give', 'bianca', 'away', 'marriage', 'found', 'husband', 'kate', 'suitors', 'begin', 'busily', 'hunting', 'madman', 'willing', 'find', 'petruchio', 'man', 'come', 'wive', 'wealthily', 'padua', 'petruchio', 'marries', 'kate', 'plan', 'tame', 'everybody', 'else', 'begins', 'scheming', 'win', 'bianca', 'hand'] 10.0 ['Comedy' 'Romance' 'Drama'] ['Comedy' 'Romance' 'Drama'] ['Comedy' 'Romance' 'Drama']",The Taming of the Shrew
114423,"['canal', 'zone'] ['canal', 'zone', 'people', 'live', 'work', 'panama', 'canal', 'zone', 'shows', 'operation', 'canal', 'various', 'governmental', 'agencies', 'business', 'military', 'civilian', 'related', 'functioning', 'canal', 'lives', 'americans', 'zone', 'film', 'includes', 'sequences', 'ships', 'transit', 'work', 'special', 'canal', 'pilots', 'aspects', 'civil', 'government', 'work', 'military', 'social', 'religious', 'recreational', 'life', 'zonians'] 10.0 ['Documentary'] ['Documentary'] ['Documentary']",Canal Zone
170078,"['maula', 'jat'] ['maula', 'jat', 'tells', 'true', 'story', 'eponymous', 'hero', 'blood', 'feud', 'local', 'gunda', 'nuri', 'nath'] 10.0 ['SinDato'] ['SinDato'] ['SinDato']",Maula Jat
162821,"['nocturne', 'indien'] ['enigmatic', 'vivid', 'imagery', 'loosely', 'plotted', 'film', 'based', 'similarly', 'evocative', 'novel', 'italian', 'author', 'antonio', 'tabucchi', 'noturno', 'indiano', 'old', 'friend', 'hero', 'living', 'bombay', 'prostitute', 'friend', 'peter', 'schlemihl', 'otto', 'tausig', 'concentration', 'camp', 'survivor', 'went', 'india', 'captivated', 'photograph', 'saw', 'prostitute', 'writes', 'europe', 'asking', 'rescue', 'friend', 'mysterious', 'malaise', 'flies', 'india', 'try', 'help', 'gets', 'bombay', 'discovers', 'friend', 'disappeared', 'following', 'clues', 'left', 'behind', 'friend', 'based', 'acquaintance', 'journeys', 'madras', 'speak', 'theosophist', 'dignitary', 'journeys', 'portugues', 'goa', 'step', 'journey', 'hero', 'anglade', 'becomes', 'identified', 'friend', 'person', 'transformations', 'must', 'experienced'] 10.0 ['Drama'] ['Drama'] ['Drama']",Nocturne Indien
138699,"['little', 'hut'] ['sir', 'philip', 'ashlow', 'stewart', 'granger', 'neglected', 'wife', 'lady', 'ashlow', 'ava', 'gardner', 'best', 'friend', 'henry', 'david', 'niven', 'shipwrecked', 'desert', 'island', 'potential', 'ménage', 'à', 'trois', 'two', 'men', 'compete', 'lady', 'attention', 'interrupted', 'unexpected', 'arrival', 'fourth', 'inhabitant', 'island'] 10.0 ['Comedy' 'Romance'] ['Comedy' 'Romance'] ['Comedy' 'Romance']",The Little Hut
259808,"['criminal', 'justice'] ['victim', 'must', 'identify', 'assailant', 'beyond', 'reasonable', 'doubt', 'meanwhile', 'accused', 'offered', 'deal', 'pleads', 'guilty', 'innocent', 'victim', 'justice', 'system', 'guiltier'] 10.0 ['TVMovie' 'Drama'] ['TVMovie' 'Drama'] ['TVMovie' 'Drama']",Criminal Justice
190605,"['panorama', 'esplanade', 'night'] ['perfect', 'picture', 'exposition', 'buildings', 'including', 'electric', 'tower', 'temple', 'music', 'appear', 'night'] 10.0 ['SinDato'] ['SinDato'] ['SinDato']",Panorama of Esplanade by Night
21466,"['mera', 'naam', 'joker'] ['raju', 'joker', 'clown', 'always', 'shall', 'life', 'story', 'unfolds', 'three', 'chapters', 'school', 'days', 'circus', 'streets', 'must', 'always', 'make', 'people', 'laugh', 'happy', 'matter', 'unhappy', 'within', 'along', 'way', 'raju', 'loves', 'loses', 'must', 'always', 'keep', 'smile', 'face', 'words', 'circus', 'manager', 'show', 'must', 'go'] 10.0 ['Romance' 'Drama'] ['Romance' 'Drama'] ['Romance' 'Drama']",Mera Naam Joker
371462,"['mammal'] ['margaret', 'divorcée', 'living', 'dublin', 'loses', 'teenage', 'develops', 'unorthodox', 'relationship', 'joe', 'homeless', 'youth', 'tentative', 'trust', 'threatened', 'involvement', 'violent', 'gang', 'escalation', 'grieving', 'rage'] 10.0 ['Drama'] ['Drama'] ['Drama']",Mammal
